ShapeName,Slug,Synonyms,Category,Description,CityOrRegionMostAssociated,EarliestAttestedMention,SourceLink,PrimaryGeometry,KeyDiscriminators,Type,IsHollow,IsRidged,IsTwisted,IsCurved,SizeClass,IsStuffed,ThumbnailImage,PhotoImage,SearchAliases
Linguettine,linguettine,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,linguetine
Mafaldine,mafaldine,reginette; mafalde,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,mafalde; reginete; reginette
Pappardelle,pappardelle,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,papardele
Pillus,pillus,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,pilus
Tripoline,tripoline,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,
Trenette,trenette,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,trenete
Spaghetti Alla Chitarra,spaghetti-alla-chitarra,maccheroni alla chitarra,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,spagheti chitarra; spaghetti chitara; chitarra spaghetti; maccheroni chitara; macheroni chitarra; spaghetti chitarra; chitarra maccheroni; maccheroni chitarra; maccheroni alla chitarra
Stringozzi,stringozzi,,Strand,,,,,strand,,strand,no,no,no,yes,medium,no,,,stringozi
Tagliolini,tagliolini,,Ribbon,,,,,ribbon,,ribbon,no,no,no,no,medium,no,,,
Bigoli,bigoli,bigoi,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,bigoi
Capelli D'Angelo,capelli-dangelo,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,capeli dangelo; dangelo capelli
Capellini,capellini,angel hair; angelhair; capelli d'angelo,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,capelini; angelhair; angel hair; capeli dangelo; capelli dangelo; dangelo capelli
Fedelini,fedelini,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,
Fusilli Bucati Lunghi,fusilli-bucati-lunghi,,Strand,,,,,strand,,strand,yes,no,yes,no,medium,no,,,fusili bucati lunghi
Maccheroncini,maccheroncini,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,macheroncini
Maccheroni Inferrati,maccheroni-inferrati,,Tube,,,,,tube,,tube,yes,no,no,yes,medium,no,,,maccheroni inferati; macheroni inferrati; inferrati maccheroni
Matriciani,matriciani,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,
Pellizzoni,pellizzoni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,pelizoni
Perciatelli,perciatelli,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,perciateli
Spaghettini,spaghettini,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,spaghetini
Spaghettoni,spaghettoni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,spaghetoni
Vermicelli,vermicelli,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,vermiceli
Vermicelloni,vermicelloni,,Strand,,,,,strand,,strand,no,no,no,no,medium,no,,,vermiceloni
Ravioli,ravioli,raviolo (sing.); raviolini (small),Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,ravioli.png,,raviolo; raviolini
Tortellini,tortellini,,Stuffed,,,,,stuffed,,stuffed,no,no,no,yes,small,yes,tortellini.png,,tortelini
Agnolotti,agnolotti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,agnolotti.png,,agnoloti
Agnolotti Del Plin,agnolotti-del-plin,Agnolotti del plin (Langhe); Agnolotti del plin Langhe; plin,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,agnolotti-del-plin.png,,plin; agnoloti plin; agnolotti plin; plin agnolotti; agnoloti plin langhe; agnolotti plin langhe; agnolotti del plin langhe
Cappelletti,cappelletti,cappelletti romagnoli,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,small,yes,cappelletti.png,,capeleti; capeleti romagnoli; cappelletti romagnoli; romagnoli cappelletti
Cappelletti Umbri,cappelletti-umbri,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,cappelletti-umbri.png,,capeleti umbri; umbri cappelletti
Caramelle,caramelle,,Stuffed,,,,,stuffed,,stuffed,no,no,yes,no,medium,yes,caramelle.png,,caramele
Conchiglioni,conchiglioni,jumbo shells,Short,,,,,short,,short,no,no,no,yes,large,no,conchiglioni.png,,jumbo shels; jumbo shells
Mezzelune,mezzelune,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,mezzelune.png,,mezelune
Casoncelli,casoncelli,casonsei,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,casoncelli.png,,casonsei; casonceli
Pansotti,pansotti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,pansotti.png,,pansoti
Ravioletti,ravioletti,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,ravioletti.png,,ravioleti
Sacchettoni,sacchettoni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,sacchettoni.png,,sachetoni
Tortelli,tortelli,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,tortelli.png,,torteli
Tortelloni,tortelloni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,yes,large,yes,tortelloni.png,,torteloni
Fazzoletti Ripieni,fazzoletti-ripieni,,Stuffed,,,,,stuffed,,stuffed,no,no,no,no,medium,yes,fazzoletti-ripieni.png,,fazoleti ripieni; ripieni fazzoletti
Manicotti,manicotti,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,manicotti.png,,manicoti
Abbotta Pezziende,abbotta-pezziende,,Short,,,,,short,,short,no,no,no,no,medium,no,abbotta-pezziende.png,,abota pezziende; abbotta peziende; pezziende abbotta
Elicoidali,elicoidali,,Tube,,,,,tube,,tube,yes,yes,yes,no,medium,no,,,
Gemelli,gemelli,,Short,,,,,short,,short,no,no,yes,no,medium,no,,,gemeli
Dischi,dischi,,Short,,,,,short,,short,no,no,yes,no,medium,no,,,
Fiori,fiori,,Short,,,,,short,,short,no,no,no,no,medium,no,,,
Gnocchetti,gnocchetti,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,small,no,,,gnocheti
Creste Di Gallo,creste-di-gallo,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,creste galo; creste gallo; gallo creste
Gramigna,gramigna,,Tube,,,,,tube,,tube,yes,no,no,yes,medium,no,,,
Gomiti,gomiti,elbows; macaroni,Tube,,,,,tube,,tube,yes,yes,no,yes,medium,no,,,elbows; macaroni
Gramignoni,gramignoni,,Short,,,,,short,,short,no,no,no,yes,medium,no,,,
Lumache,lumache,lumaconi (large),Short,,,,,short,,short,no,no,yes,yes,medium,no,,,lumaconi
Lumachine,lumachine,,Short,,,,,short,,short,no,yes,no,yes,small,no,,,
Lumaconi,lumaconi,,Short,,,,,short,,short,no,no,no,yes,large,no,,,
Marziani,marziani,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,
Messinesi,messinesi,,Short,,,,,short,,short,yes,no,no,yes,medium,no,,,mesinesi
Mandala,mandala,,Short,,,,,short,,short,yes,yes,no,no,medium,no,,,
Mezze Penne,mezze-penne,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,meze penne; mezze pene; penne mezze
Margherita Messinese Lunga,margherita-messinese-lunga,,Short,,,,,short,,short,no,no,no,yes,medium,no,,,margherita mesinese lunga
Mostaccioli,mostaccioli,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,mostacioli
Pennette,pennette,,Tube,,,,,tube,,tube,yes,yes,no,no,small,no,,,penete
Ondule,ondule,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,
Penne,penne,penne rigate,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,penne.png,penne.jpg,pene; pene rigate; penne rigate; rigate penne
Pipe,pipe,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,
Pantacce,pantacce,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,,,pantace
Quadrefiore,quadrefiore,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,
Radiatori,radiatori,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,
Ricciutelli,ricciutelli,,Short,,,,,short,,short,no,no,no,yes,medium,no,,,riciuteli
Rigatoncini,rigatoncini,,Tube,,,,,tube,,tube,yes,yes,no,no,small,no,,,
Rocchetti,rocchetti,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,rocheti
Sciviottini,sciviottini,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,sciviotini
Rotini,rotini,,Short,,,,,short,,short,no,no,yes,no,small,no,,,
Sorprese,sorprese,,Short,,,,,short,,short,no,no,no,no,medium,no,,,
Sorprese Lisce,sorprese-lisce,,Short,,,,,short,,short,no,yes,yes,no,medium,no,,,lisce sorprese
Ruote,ruote,,Ring / Wheel,,,,,ring,,ring,yes,no,no,yes,medium,no,,,
Tufoli,tufoli,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,
Fazzoletti,fazzoletti,fazzoletti di seta,Sheet,,,,,sheet,,sheet,no,no,no,no,small,no,,,fazoleti; fazoleti seta; fazzoletti seta; seta fazzoletti; fazzoletti di seta
Trennette,trennette,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,trenete
Trenne,trenne,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,trene
Ziti,ziti,zite,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,zite
Trottole,trottole,,Short,,,,,short,,short,no,no,yes,no,medium,no,,,trotole
Mparrettati,mparrettati,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,mparetati
Passatelli,passatelli,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,medium,no,,,pasateli
Foglie D'Ulivo,foglie-d-ulivo,,Short,,,,,short,,short,no,no,no,no,medium,no,,,foglie ulivo; ulivo foglie; dulivo foglie; foglie d ulivo
Fusilli Bucati,fusilli-bucati,,Tube,,,,,tube,,tube,yes,no,yes,no,medium,no,,,fusili bucati; bucati fusilli
Strozzapreti,strozzapreti,,Short,,,,,short,,short,no,no,yes,no,medium,no,,,strozapreti
Orecchiette,orecchiette,little ears,Short,,,,,short,,short,no,no,no,yes,small,no,,,orechiete; litle ears; little ears
Fricelli,fricelli,,Short,,,,,short,,short,no,no,no,no,medium,no,,,friceli
Torchio,torchio,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,
Mezzi Bombardoni,mezzi-bombardoni,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,mezi bombardoni; bombardoni mezzi
Pasta Al Ceppo,pasta-al-ceppo,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,pasta cepo; ceppo pasta; pasta ceppo
Caserecce,caserecce,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,caserece
Paccheri,paccheri,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,pacheri
Tortiglioni,tortiglioni,,Tube,,,,,tube,,tube,yes,yes,yes,no,large,no,,,
Gnocchi,gnocchi,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,yes,no,no,medium,no,,,gnochi
Penne Rigate,penne-rigate,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,pene rigate; rigate penne
Gnocchetti Sardi,gnocchetti-sardi,,Dumpling / Pasta-Like,,,,,dumpling,,dumpling,no,no,no,no,medium,no,,,gnocheti sardi; sardi gnocchetti
Capricci,capricci,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,caprici
Ditalini,ditalini,ditali; thimbles,Tube,,,,,tube,,tube,yes,no,no,no,small,no,,,ditali; thimbles
Farfalle,farfalle,bow tie pasta; bow-ties; bowties; farfalline (small); bow ties,Short,,,,,short,,short,no,no,no,no,medium,no,,,bowties; farfale; bow ties; farfaline; farfalline; bow tie pasta
Maccheroni,maccheroni,Macaroni,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,,,macaroni; macheroni
Fusilli,fusilli,fusilli napoletani; fusilli calabresi,Short,,,,,short,,short,no,no,yes,no,medium,no,,,fusili; fusili calabresi; calabresi fusilli; fusili napoletani; fusilli calabresi; fusilli napoletani; napoletani fusilli
Chiocciole,chiocciole,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,chiociole
Anelli,anelli,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,aneli
Acini de Pepe,acini-de-pepe,Acini di pepe; peppercorn pasta; peppercorns,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,acini pepe; pepe acini; pepercorns; peppercorns; acini di pepe; pepercorn pasta; pasta peppercorn; peppercorn pasta
Alfabeto,alfabeto,alphabet pasta,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,alphabet pasta; pasta alphabet
Anchellini,anchellini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,anchelini
Anellini,anellini,,Soup / Pastina,,,,,soup,,soup,no,no,no,yes,small,no,,,anelini
Cocciolette,cocciolette,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,cociolete
Gianduieta,gianduieta,Animal;,Short,,,,,short,,short,yes,no,no,no,medium,no,,,animal
Coralli,coralli,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,corali
Farfalline,farfalline,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,farfaline
Fregula,fregula,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Filini,filini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Cuscus,cuscus,Cuscussu; Cous Cous,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,cuscusu; cuscussu; cous cous
Grano,grano,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Grattoni,grattoni,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,gratoni
Grattini,grattini,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,gratini
Margheritine,margheritine,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Merletti,merletti,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,merleti
Midolline,midolline,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,midoline
Paternoster,paternoster,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Quadretti,quadretti,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,quadreti
Quadrucci,quadrucci,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,quadruci
Orzo,orzo,orzo pasta; risone; risoni; rice-shaped pasta,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,risone; risoni; orzo pasta; pasta orzo; rice shaped pasta
Puntine,puntine,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Occhi Di Passero,occhi-di-passero,,Ring / Wheel,,,,,ring,,ring,yes,no,no,no,medium,no,,,occhi pasero; ochi passero; occhi passero; passero occhi
Tempesta,tempesta,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Stellette,stellette,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,stelete
Tripolini,tripolini,,Short,,,,,short,,short,no,yes,no,yes,small,no,,,
Risi,risi,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Semi Di Melone,semi-di-melone,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,medium,no,,,melone semi; semi melone
Cavatelli,cavatelli,cavati; cavateddi,Short,,,,,short,,short,yes,yes,no,yes,medium,no,,,cavati; cavatedi; cavateli; cavateddi
Assabesi,assabesi,,Filled,,,,,short,,short,no,yes,no,no,medium,no,,,asabesi
Ballerine,ballerine,,Short,,,,,short,,short,no,yes,yes,no,medium,no,,,balerine
Capunti,capunti,cappunti,Short,,,,,short,,short,yes,yes,no,no,medium,no,,,cappunti
Cencioni,cencioni,,Short,,,,,short,,short,no,yes,no,yes,large,no,,,
Francesine,francesine,,Short,,,,,short,,short,no,yes,no,no,medium,no,,,
Fisckariedd',fisckariedd,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,,,fisckaried
Ciocchetti,ciocchetti,,Short,,,,,short,,short,no,no,yes,no,medium,no,,,ciocheti
Corzetti,corzetti,croxetti,Short,,,,,short,,short,no,no,no,no,small,no,,,corzeti; croxeti; croxetti
Cuzzetielle,cuzzetielle,,Short,,,,,short,,short,yes,no,no,yes,medium,no,,,cuzetiele
Sagnarelli,sagnarelli,,Sheet,,,,,sheet,,sheet,no,no,no,no,medium,no,,,sagnareli
Calamarata,calamarata,,Ring / Wheel,,,,,ring,,ring,yes,no,no,yes,medium,no,,,
Cannelloni,cannelloni,,Tube,,,,,tube,,tube,yes,no,no,no,large,no,,,caneloni
Troffiette,troffiette,,Short,,,,,short,,short,no,no,no,no,medium,no,,,trofiete
Canneroni,canneroni,,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,,,caneroni
Cannolocchi,cannolocchi,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,canolochi
Cavatappi,cavatappi,cellentani; corkscrew pasta; corkscrews,Short,,,,,short,,short,yes,yes,yes,no,medium,no,,,cavatapi; celentani; cellentani; corkscrews; corkscrew pasta; pasta corkscrew
Conchiglie,conchiglie,shell pasta; shells,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,shels; shells; shel pasta; pasta shell; shell pasta
Conchigliette,conchigliette,,Short,,,,,short,,short,no,yes,no,yes,small,no,,,conchigliete
Cappelli Napoletani,cappelli-napoletani,,Short,,,,,short,,short,yes,no,no,no,medium,no,,,capeli napoletani; napoletani cappelli
Chifferi Rigati,chifferi-rigati,,Tube,,,,,tube,,tube,yes,yes,no,no,medium,no,,,chiferi rigati; rigati chifferi
Cannolocchi Medi,cannolocchi-medi,,Tube,,,,,tube,,tube,yes,no,no,no,medium,no,,,canolochi medi; medi cannolocchi
Garganelli,garganelli,,Tube,,,,,tube,,tube,yes,yes,no,yes,medium,no,,,garganeli
Funghetti,funghetti,,Short,,,,,short,,short,no,yes,yes,no,medium,no,,,fungheti
Lanterne,lanterne,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,
Gigli,gigli,,Short,,,,,short,,short,no,yes,no,yes,medium,no,,,
Margherite,margherite,,Soup / Pastina,,,,,soup,,soup,no,no,no,no,small,no,,,
Rigatoni,rigatoni,,Tube,,,,,tube,,tube,yes,yes,no,no,large,no,,,
Nuvole,nuvole,,Sheet,,,,,sheet,,sheet,no,no,no,yes,medium,no,,,
Maltagliati,maltagliati,,Short,,,,,short,,short,no,no,no,no,medium,no,,,
Sagne 'Ncannulate,sagne-ncannulate,,Ribbon,,,,,ribbon,,ribbon,no,no,yes,no,medium,no,,,sagne ncanulate; ncannulate sagne
Fusi Istriani,fusi-istriani,,Short,,,,,short,,short,yes,no,yes,no,medium,no,,,istriani fusi
